NM_057439.2	0.0	3823	100	96.138	XM_039296520.1	2352	2356
NM_057511.4	0.0	13538	93	92.835	XM_039298055.2	10150	9407
NM_057511.4	3.25e-06	56.5	0	96.970	XM_016171350.3	10150	33
NM_078778.5	0.0	4189	83	97.899	XM_016184008.3	2919	2427
NM_164486.2	0.0	5192	71	97.724	XM_039291276.2	4230	3032
NM_165841.2	0.0	4233	89	97.282	XM_002081017.3	2792	2502
NM_165841.2	8.11e-72	272	10	87.342	XM_016167841.2	2792	237
NM_165841.2	3.17e-11	71.3	10	92.000	XM_016167841.2	2792	50
NM_080317.2	0.0	6765	99	93.777	XM_039297286.2	4527	4564
NM_080317.2	5.02e-31	137	3	88.333	XM_002076813.4	4527	120
NM_001032098.2	0.0	1661	48	96.875	XM_039298660.2	2080	992
NM_001032098.2	0.0	1592	44	98.242	XM_016180148.3	2080	910
NM_134273.2	0.0	5524	99	97.671	XM_016173127.3	3220	3220
NM_001038976.1	0.0	3947	100	96.920	XM_039295465.2	2370	2370
NM_080504.4	0.0	4161	56	97.770	XM_039294541.2	4282	2422
NM_080504.4	1.01e-42	176	4	86.709	XM_044923379.1	4282	158
NM_080504.4	7.83e-39	163	5	80.861	XM_016176568.3	4282	209
NM_080504.4	1.03e-22	110	4	79.487	XM_002102376.4	4282	156
NM_080504.4	3.72e-22	108	4	78.090	XM_002102380.4	4282	178
NM_078946.4	0.0	2309	100	96.515	XM_039291927.2	1406	1406
NM_057916.4	0.0	7605	85	97.433	XM_016176416.3	5278	4480
NM_057411.4	0.0	9939	100	96.043	XM_002082465.4	6124	6141
NM_176410.3	0.0	4178	100	96.659	XM_016175878.3	2514	2514
NM_001258518.3	0.0	14752	87	95.700	XM_016173184.3	10506	9256
NM_001258518.3	1.64e-153	545	7	96.657	XM_002105787.4	10506	329
NM_001258518.3	1.07e-95	353	7	97.573	XM_002105787.4	10506	206
NM_001258518.3	2.32e-87	326	7	97.872	XM_002105787.4	10506	188
NM_001258518.3	7.03e-28	128	2	76.596	XM_039296973.2	10506	235
NM_001272659.2	0.0	3020	99	97.513	XM_016173990.3	3712	1769
NM_001272659.2	0.0	2623	99	92.451	XM_016173990.3	3712	1881
NM_001272659.2	3.24e-17	91.6	99	98.077	XM_016173990.3	3712	52
NM_057374.3	0.0	10159	97	96.266	XM_002082380.4	6400	6213
NM_057374.3	7.44e-180	632	7	92.873	XR_005543520.2	6400	449
NM_001169247.1	0.0	2049	98	97.197	XM_039296430.2	3196	1213
NM_001169247.1	0.0	1550	98	95.445	XM_039296430.2	3196	988
NM_001169247.1	0.0	1428	98	98.051	XM_039296430.2	3196	821
NM_001169247.1	1.22e-60	235	98	100.000	XM_039296430.2	3196	127
NM_001316640.1	0.0	3092	72	97.829	XM_039296841.2	2781	1796
NM_001316640.1	7.80e-97	355	72	98.515	XM_039296841.2	2781	202
NM_079414.3	0.0	1417	97	95.819	XM_016169292.3	901	885
NM_169233.2	0.0	5280	96	96.657	XM_002076557.4	3338	3201
NM_079613.3	0.0	6630	99	96.137	XM_039294980.2	4337	4064
NM_079613.3	4.23e-121	436	99	94.755	XM_039294980.2	4337	286
NM_079613.3	1.07e-07	60.2	1	94.737	XM_016176648.3	4337	38
NM_057444.3	0.0	3417	97	97.736	XM_016180986.3	2038	1988
NM_079412.4	0.0	5832	89	96.221	XM_002085324.4	4018	3599
NM_001297925.1	0.0	4726	100	96.982	XM_039296628.2	3475	2816
NM_001297925.1	0.0	1057	100	95.529	XM_039296628.2	3475	671
NM_206448.1	0.0	4490	53	97.636	XM_016175864.2	4902	2623
NM_206448.1	9.29e-14	80.5	1	100.000	XM_039294441.2	4902	43
NM_080025.2	0.0	9402	75	97.217	XM_039298079.2	10438	5570
NM_080025.2	0.0	3888	75	97.787	XM_039298079.2	10438	2259
NM_001274252.1	0.0	3633	50	96.181	XM_002083044.3	4411	2226
NM_001169459.1	0.0	2340	73	98.710	XM_016178511.3	1797	1318
NM_057351.5	0.0	3408	99	98.110	XM_016177119.3	1958	1958
NM_001347756.1	0.0	8013	95	96.625	XM_016179062.3	5073	4829
NM_001347756.1	6.98e-60	233	3	95.833	XM_016179060.2	5073	144
NM_001274988.1	0.0	2538	88	94.572	XM_016169423.3	2304	1658
NM_001274988.1	1.73e-122	440	88	88.542	XM_016169423.3	2304	384
NM_058150.3	0.0	2904	100	96.047	XM_002102380.4	1774	1796
NM_001260116.2	0.0	12310	39	96.489	XM_039295839.2	23486	7520
NM_001260116.2	0.0	2660	39	97.213	XM_039295839.2	23486	1579
NM_001316543.1	0.0	7555	90	97.627	XM_002103100.4	4870	4425
NM_001300706.2	0.0	2372	78	93.329	XM_039291930.2	2072	1634
NM_001169590.2	0.0	8355	59	96.963	XM_016167461.3	8415	5005
NM_078937.4	0.0	8174	99	97.688	XM_016172194.2	5521	4758
NM_078937.4	0.0	1081	99	95.238	XM_016172194.2	5521	693
NM_079878.5	0.0	7481	100	94.035	XM_002077000.4	4941	4979
NM_001273063.1	0.0	4844	91	96.385	XM_016179105.3	3262	2960
NM_001273063.1	3.74e-06	54.7	1	94.286	XM_016167372.3	3262	35
NM_079712.6	0.0	15104	86	96.416	XM_016176308.3	10706	9208
NM_165219.2	0.0	3986	77	96.414	XM_016178169.3	4724	2426
NM_165219.2	0.0	2178	77	96.372	XM_016178169.3	4724	1323
NM_001276066.2	0.0	8283	100	95.800	XM_016177625.3	5129	5143
NM_164799.2	0.0	1299	77	94.249	XM_016178686.3	1109	852
NM_164799.2	8.41e-108	390	26	91.319	XM_002078569.4	1109	288
NM_175976.2	0.0	4446	94	96.250	XM_016178963.3	2885	2720
NM_175976.2	1.46e-39	165	6	85.185	XM_039297637.2	2885	162
NM_079475.3	0.0	4010	100	96.071	XM_002085743.4	2462	2469
NM_079475.3	7.61e-27	122	3	92.941	XM_002085742.4	2462	85
NM_001299823.1	0.0	3158	81	96.331	XM_016168789.3	2368	1935
NM_001299823.1	1.90e-77	291	7	96.571	XM_016182735.3	2368	175
NM_001273529.2	0.0	1720	92	84.690	XM_016180163.3	2285	1757
NM_001273529.2	8.75e-56	219	92	77.449	XM_016180163.3	2285	439
NM_001273529.2	1.93e-37	158	92	81.683	XM_016180163.3	2285	202
NM_001273529.2	3.31e-20	100	92	83.051	XM_016180163.3	2285	118
NM_001273529.2	1.54e-18	95.3	92	89.610	XM_016180163.3	2285	77
NM_169248.4	0.0	4514	100	94.969	XM_016174999.3	2869	2902
NM_001169520.3	0.0	12043	97	99.354	XM_016180241.2	6833	6652
NM_057242.5	0.0	6423	99	97.875	XM_016181812.2	3718	3717
